Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,PnL %,Action,Cash Balance,Total Equity,Notes
10/20/25,AMD,0.9722,223.5,217.3,202.11,240.56,233.87,16.59,7.63,HOLD,,,
10/20/25,IREN,0.1546,60.16,9.3,55.35,59.22,9.16,-0.15,-1.61,HOLD,,,
10/20/25,CRWD,0.2615,491.6,128.5,455.84,503.61,131.69,3.14,2.44,HOLD,,,
10/20/25,AVGO,0.1723,353.61,60.93,325.32,349.24,60.17,-0.75,-1.23,HOLD,,,
10/20/25,BE,0.437,114.39,49.99,105.24,109.06,47.66,-2.33,-4.66,HOLD,,,
10/20/25,TOTAL,,,,,,490.55,16.5,,,122.57,613.12,
,,,,,,,,,,,,,
2025-10-21,AMD,0.9722,223.5,217.3,202.11,238.03,231.41,14.13,6.5,HOLD,,,
2025-10-21,CRWD,0.2615,491.6,128.5,455.84,503.95,131.78,3.23,2.51,HOLD,,,
2025-10-21,GM,1.6674,65.96,109.98,60.68,66.61,111.07,1.08,0.98,BUY,-109.98,,
2025-10-21,AVGO,0.0,353.61,0.0,0.0,350.09,0.0,-0.61,,SELL - Manual,60.32,,Complete sale
2025-10-21,IREN,0.0,60.16,0.0,0.0,57.49,0.0,-0.41,,SELL - Manual,8.89,,Complete sale
2025-10-21,BE,0.0,114.39,0.0,0.0,108.35,0.0,-2.64,,SELL - Manual,47.35,,Complete sale
2025-10-21,TOTAL,,,,,,474.26,18.44,,,129.15,603.41,
,,,,,,,,,,,,,
2025-10-22,AMD,0.9722,223.5,217.3,202.11,230.23,223.83,6.54,3.01,HOLD,,,
2025-10-22,GD,0.205,342.0,70.11,314.64,338.24,69.34,-0.77,-1.1,BUY,-70.11,,
2025-10-22,KDP,6.0723,28.0,170.02,25.76,27.39,166.32,-3.7,-2.18,BUY,-170.02,,
2025-10-22,GM,0.0,65.96,0.0,0.0,66.69,0.0,1.22,,SELL - Manual,111.2,,Complete sale
