Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-09-24,SERV,,,,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,11.32,13.25,149.99,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-24,SERV,11.32,13.25,150.01,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.95,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,,,13.92,-11.954700000000004,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.81
2025-09-24,SERV,11.32,13.25,149.99,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-25,SERV,,,13.92,-18.201300000000003,AUTOMATED SELL - STOPLOSS TRIGGERED,10.77,12.23
2025-09-26,SERV,,,13.92,-21.734399999999994,AUTOMATED SELL - STOPLOSS TRIGGERED,11.32,12.0
